,Column1,Groserias,Vulgar,Agresivo,Ofensivo,Unnamed: 0
962,962.0,"@Fernando_Pazz @SergioSarmiento Ahi esta el ""saludo"" de tocarse arriba del codo con un leve apreton, siempre se ve cuando reporteros y periodistas se reunen con los presidentes. Es una señal que significa ya recibi el deposito, gracias. y del otro lado: Ya te deposite.!!!",0,0,0,
4062,,Qué clase de cojones. https://t.co/KVsV02Hvs3,1,0,0,4062.0
442,,"Me mandaron cosas a buenos aires y además de agradecerle a mi mamá x las cosas dulces hace falta una mención especial para el laboratorio que le lleva muestras a mi viejo por abastecerme de lapiceras, pañuelitos y antidepresivos",0,0,0,442.0
3302,,"@ATellodeMeneses La gente piensa que los F1 son como manejar en simulador. Son de lo más inestables y agrega el peso de las fuerza G. 

No cualquier idiota es piloto, que les quede claro eso. Y hay muchísimos factores a tomar en cuenta, si fuera tan fácil no habría dominio por épocas",0,0,1,3302.0
5089,,Y como dijo Bad Bunny: ya me tienes hasta la verga y quiero partirte tu madre mañana a las 8.🥰,1,1,0,5089.0
4039,4039.0,"@ENTEBRAS @lcapote1973 @BarrigaNo Que se lo digan a Ritman, y lo poco que vendió Monster Max para lo acojonante que era. Un año estuvo mamoneando Titus hasta que lo pusieron en las tiendas. :(",1,0,0,
2143,2143.0,@SandeeJade Que le mande otro machote. https://t.co/StkeyDnALc,0,0,0,
2471,2471.0,"@almawildthing @jcolsc50 @Murdokastur Difiero: también puede ser un hijoputa facilitador de la dictadura que ha convertido a un país próspero en un moridero de pobres.
Perdón por mi exaltación Alma, pero tú tienes buen corazón; yo no y no me pesa llamar a los hijodeputas como Juan Carlos lo que son: BASURA!",1,0,1,
4885,,@Rasec_NA @dryzabicita @Nuvia_OuO No puedes discutir con gente que piensan que jamás se han equivocado la mayoría ni trabaja,0,0,0,4885.0
3886,3886.0,Pero si sé que no quiero volver a quedar como idiota :),1,0,0,
4690,,"@RicardoMonrealA @MorenaSenadores Y no entiendes que nadie votó por ti, deja de traicionar ya deberían de mandarte a la Chi../ morena eres nefasto y corrupto.",0,0,1,4690.0
5212,,"Ni mi mama puede manipularme con sus chantajes
Menos tu gordo mugroso.",0,0,1,5212.0
2714,2714.0,"@v_ddiaz Que mamadas don Panchito Hdz ya se hubiera traído 2 cracks de Sudamerica y ya estarían repartiendo calidad desde el inicio del torneo, que directiva y dueño con huevos tibios en fin",0,0,0,
299,,"#Nicaragua Umbila, una pequeña comunidad de #Rosita, Caribe Norte volvió a ser teñida de sangre. Raquel Benigna Orozco Blandón, de 36 años, tenía 2 meses de haber regresado con José Noel Jarquín López, de 40, quien el pasado 3 de #septiembre la mató a machetazos #NiUnaMenos https://t.co/Q0eybAGQol",0,0,0,299.0
1495,,"@jarizabaletaf Jaime siempre serás lameculos, entre más rápido lo aceptes mejor.",1,0,1,1495.0
4933,,"@ExpansionMx @carinagt Ocupamos que las fuerzas armadas sigan, es lo único que respalda a México , muy bien por ustedes",0,0,0,4933.0
5125,,"@MariaPauleth @rizosdeoro8 @contrerasmel28 Que bolas, me marcharé lentamente 🚶🏻‍♀️",0,0,0,5125.0
1145,1145.0,@GeralNr Llévame a un fondo dominguero,0,0,0,
3614,,"Los amigos de pablo aquí en charlotte, creo que pelean para ver quien es más mongolico 😂 increíble",0,0,1,3614.0
3782,,"@didiaylin exacto! y luego sales del trabajo y con las 2 horas de transporte no te queda energía para hacer algo, es muy agotador viajar en transporte público.",0,0,0,3782.0
4384,4384.0,"En insta está el speedpaint pero también ya lo subí a TikTok para inaugurarlo (que lo tengo desde hace un chingo pero no había subido nada y se va a quedar más abandonado que otra cosa jajaja)
https://t.co/ZxRKk8epqM https://t.co/mSc1Dn30r7",1,0,0,
3297,3297.0,"@JessikaAE4 Sip eso es así , ni  café había tomado 🤷🏽‍♂️",0,0,0,
6033,,@UnGatoNejo @AgenciaOjo Cállate,0,1,0,6033.0
616,616.0,El Carnaval Internacional de Mazatlán tendrá lugar del 16 al 21 de febrero de 2023.🎉🎭 🍻🎶 https://t.co/JFJ0Z81Bkw,0,0,0,
1171,,"@_Jatziryg10 puta rola, me hace llorarr",1,0,0,1171.0
2486,,"@Cuauhtemoc_1521 Totalmente de acuerdo Lo que pasa es que nuestra historia oficial no acepta las victorias de los malos como son Santa, Anna e Iturbide",0,0,0,2486.0
1125,,"Ni modo wey, díganme mamona pero nunca he tomado kosako",1,0,0,1125.0
159,159.0,"@SofiaGranger No puedes. Si lo haces no sabrías porque cambiar de decisión, deja ir todo eso y haz cosas diferentes hoy 

(Yo aquí, atorrante)",0,0,0,
1032,1032.0,@MariettoPonce @JLozanoA @Letamaya @SEP_mx Experta en cromo desde hace 28 años,0,0,0,
1782,,"Presidente de Ahome, Gerardo Vargas, ocupa el 7mo. Lugar a nivel nacional en el ranking de alcaldes de México con mayor aprobación https://t.co/xVnynmRZYy",0,0,0,1782.0
4525,,"@callodehacha La DEA contraria a los Mexicanos? Que pedazo de estupidez es esa? Contraria a los intereses de los narcos, patrocinadores del inepto del palacio. 
Ya sabemos que los huevos los traes de adorno, pero utilízalos y arroba a la señora. Puñal acomplejado.",1,1,1,4525.0
7,,me tienen harta los vatos con su pinché libro y estampitas del mundial,1,0,0,7.0
1801,,La Juventus es un equipo bien sidoso!!!,0,1,1,1801.0
1134,1134.0,"@Domine_Kira Un meme donde sale Scarlett Johansson, de una película donde la voz de IA es de Scarlett Johansson y la otra película protagonizada por la misma Scarlett Johansson.",0,0,0,
1804,1804.0,@letroblesrosa @XochitlGalvez Lo que coloquialmente se conoce como elotazo en el hocico.,0,0,0,
891,,Alguien quiere comprar el Off de 2x1 que está en la torre? 👉🏼👈🏼,0,0,0,891.0
4109,,"@akasadtanas You lost me at ""conciencia de clase"" jajaja https://t.co/4EsqMg4v4v",0,0,0,4109.0
5472,,"Podrán decir mil y una cosa en su defensa, pero lo que nunca podrán hacer es borrar su condición de ladrones, vividores y sinverguenzas, a menos a mi, como ciudadano contribuyente de este pais NINGUN HIJO DE PUTA de UDS. me a dado de comer, partida de malandros mal paridos. https://t.co/QK9ab20KXV",1,1,1,5472.0
5407,,"Duro golpe le pone @MarkoCortes y el #PAN al @PRI_Nacional de @alitomorenoc 
Está por venirse a tierra la coalición #VaPorMexico 🐸🐸🐸 ya por dignidad debería irse... #Chanfle 😜 https://t.co/oOAfln4su7",0,0,0,5407.0
2647,2647.0,"@a745b14a16d24cc @Papini74 Utsss de seguro el pajarraco hipócrita azul lo va a censurar por insultar al ""ticher""",0,0,0,
3671,3671.0,"@vist0ria Tranca tranca, si podemos los 2 https://t.co/2vvXFE2eAH",0,0,0,
4673,,@CANTVINV @laconciencianpd Empezando deberían cambiar los requisitos pues teléfono de contacto  ESTA DAÑADO . Tendrán ustedes idea de la razon,0,0,0,4673.0
2541,2541.0,tan niche que es montar cachos,0,0,0,
2806,2806.0,"@Faitelson_ESPN Tu has puesto a n cantidad de jugadores mexicanos de medio pelo jugando en Europa y nadie te manda de vacaciones permanentes.
JAJAJAJA",0,0,0,
3018,3018.0,@Sancamilo1951 Nene el vaso es opcional lo compras 1 vez y después lo vas rellenando si no pues el de plástico es gratis lo de más si es una mamada @Orlegi_Sports  ni una fila exclusiva para ingresar los que tenemos pase TODO LENTO Y PUES LOS PRECIOS ADENTRO SI POR LOS CIELOS,1,0,0,
5299,,Mi vieja siempre la mejor 😩💕 https://t.co/z7smElKw2Y,0,0,0,5299.0
5057,5057.0,"@Hugo_RamosM Jajajaja pinche afición tóxica, después lo van a putear como al.ultimo capitán q un e habia levantado un título como jugador y que como DT los hizo campeones tras 23 años.",1,0,0,
340,340.0,La bomba estalló #unidosparacrecer,0,0,0,
106,106.0,"@ruhsantiago99 @RastaHavana @ElCarvoOficial Simple, eres anormal.",0,0,0,
4819,,"@ChairosY @yoladelatorre A ver si a ti @yoladelatorre si te responde.

No es el tiempo ni el gobierno para andar proponiendo estas cosas.
Hasta parecen nuevos",0,0,0,4819.0
5934,,"@TomasShelbyPB @SeaFlowers_ @AhiAlemoran Ajijos!

Todos los que marcharon con frena el día 3?
Todos los que simpatizan con frena o participan en sus manifestaciones?
Vaya! O sea que ya no decide solo el estúpido ""consejo rector""?
Aleluya! Llegó la democracia a #FRENA",0,0,0,5934.0
139,139.0,"@drdan_o @ArtHistoryBRU Awww!!!!! 😱😱😱😱😱😱😱😱😱😱😱😍Qué impresionante artefacto, que no pintura!!! Memento mori!!! “Recordatorio de la muerte” “Recuerda, morirás“",0,0,0,
2175,,"SE HA CONVERTIDO EN UN RETO LLEVAR UNA PRENDA MÁS DE 5 VECES ¿POR QUÉ?

•Cada año la calidad de las prendas empeora, pierde color, se deforma o desgasta rápido.
•Las tendencias cambian rápido que no podemos seguir el ritmo. 
#sostenibilidad #fashionblogger",0,0,0,2175.0
4319,4319.0,"La semana pasada mi novio estaba enfermo y al chile me valió. Y ahorita me enferme y no me puedo sonar a gusto la nariz, porque apenas me hice la nostril :v",0,0,0,
3090,,Es lopez un miserable hdp Su comentario es típico de él. Recordar que estuvo inmiscuído en dos muertes; su hermano y un amigo. 🤬🤬🤬 https://t.co/JcxICUZwUE,1,0,0,3090.0
1994,,@Don_EstebanDido Está condenada? desconozco que fue del juicio,0,0,0,1994.0
3593,,Es muy real pero a la actual directiva de #CruzAzul demuestra que le importa nada lo que la afición piense diga o se exprese https://t.co/SDwZPr4sQ1,0,0,0,3593.0
4168,4168.0,@yessaljiz Ay si aún me siguen bajando ese billete…. Y el peaje… pero el cagadal que dejó el otro mojon en 12 años ni se puede arreglar todavía en 7 meses va,1,0,1,
2747,2747.0,"Henry Jackman ... a veces parece haber dado un paso rumbo a su independencia de la escuela de ZImmer, y otras veces, las últimas veces se erige ""mas papista que el papa"".

THE GREY MAN es uno de esos trabajos donde Jackman se entrega sin pudor a su escuela.",0,0,0,
3329,,"Yo lo había pensado, no creo en los estereotipos heterosexuales u homosexuales pero ese cachireco tiene pinta de otra amiga más. Veo su foto y lo puedo escuchar diciendo, estupida, mis calles llenas de baches, idiota. 💅🏽💄 https://t.co/xn6zm7r9x2",0,0,1,3329.0
3246,3246.0,"Qué tristeza, Tartufo sólo dice mentira tras mentira, se le está acabando su discurso retórico y falso, la realidad se impone…",0,0,0,
5333,,@Franz7344 @CitlaHM ya ves vieja culerienta,0,0,1,5333.0
98,98.0,"▶ ""Al estar tan limitados y saturados, cualquier situación anormal como un temblor, un cierre de pistas, un bache, generan un caos; no podemos darnos el lujo de descuidar el AICM""

La opinión del capitán José Suárez Valdez en #MILENIOAlMomento https://t.co/Q2DGCo0hvQ",0,0,0,
4618,4618.0,"@gabrielrufian Gilipollas !!*!! El minuto lo hicieron,pero es evidente q no te gusto el después,ya q apoyáis al 155 y a la no investigación dl 17A,q esquitxa al CNI y a tus amos… deshonrra para cualquier pueblo d bien,vendidos,esquirols,no ganareis más en vuestra traidora vida!no en Catalunya!",1,0,0,
2136,2136.0,"@LezVargas Que machota, yo cierro los ojos cuando voy al dentista jajjaja",0,0,0,
1606,1606.0,"@Pelonndenfrente @BotTita2 @orgonitamaya @ELOBSER73501906 @CoquitoCohen @Mercoss @MrReyKing @lopezobrador_ @EnriqueAlfaroR @SEMAR_mx @OlmecasTabasco @LaydaSansores @hdemauleon @azucenau @CarlosGortari_ @VicenteFoxQue @FelipeCalderon @EPN @PRI_Nacional @AccionNacional @PRDMexico @POTUS @Tiendas_OXXO @SATMX @Profeco @SSalud_mx @samuel_garcias @ManuelBartlett Qué se hace con esa gentuza, amigo? 
Esperar a la justicia divina?
Es el colmo que siga apestando a garnachas la silla presidencial. 
No éramos perfectos pero tampoco nos merecemos a ese batido. https://t.co/9nqceLGfm5",0,0,1,
3361,,"TERREMOTO DE MAGNITUD 6,6 DEJA AL MENOS 46 MUERTOS EN CHINA

 Al menos 46 personas murieron, varias carreteras quedaron bloqueadas y múltiples viviendas fueron ""gravemente...
https://t.co/jy8UoXnzLz",0,0,0,3361.0
3010,,@joseantoniokast SIGEN CAGANDOSE SOLOS ESTOS SIN CEREBRO,0,0,1,3010.0
691,,10 meses quedando pero como pendejos,1,0,1,691.0
4502,,"@jgnaredo Por que piensas que Danielle Dithurbide tiene la culpa de que la madrecita de la señora Leticia Ramírez no haya tomado ácido folico, al igual que la tuya?",0,0,0,4502.0
1627,1627.0,"Los que me conocen saben lo imposible que es en mi no llorar, por qué soy el más chillón sobre el planeta tierra, le dije que todo estaba bien y estaría bien que nosotros teníamos revolución para que ayudaran a mi godo, cuando salí de dónde ella estaba minutos después...",0,0,0,
5424,,"@Foro_TV @campossuarez Vamos de mal en peor!! Falta de #Valores , #educación  #Respeto ,futuros ladrones.",0,0,0,5424.0
2608,,"Mira, se ofende sin decirle ni una palabra 🤣 https://t.co/wEyB4Cll5f https://t.co/yjGLX4LKeB",0,0,0,2608.0
4431,4431.0,"Tener tiempo es la verdadera riqueza, no el tener un cojon de chavos. But somehow nos hemos convencido que lo ultimo es mas importante.",1,0,0,
5279,,JAJAKSJAKA lo que le ponen los uniformes a la perra😂 https://t.co/t0NRaQfkAV,1,0,0,5279.0
1547,1547.0,"@nathiespino Yo encantado de hacerle , puedo hacer una olla y vamos  con la gallada a sentarnos a un parque",0,0,0,
3503,3503.0,"@enriquefmiranda Creo que el problema no fue la espada, el detalle es que la “procesión” iba acompañada por una soflama política: “Alerta (bis) que camina la espada de Bolívar por América Latina”. Esa soflama es de origen chavista: la “espada” la usaban sus seguidores para referirse a Chávez.",0,0,0,
4131,,Y verdaderamente me meti en su cabeza y encontre la informacion. 5 años de psicologia si sirvieron amix,0,0,0,4131.0
3265,3265.0,"💧Bierzo Aire Limpio alerta del grave riesgo de escasez de agua en el Embalse de Bárcena y pide que se revoque la concesión de agua del embalse a Forestalia, la planta de biomasa de Cubillos del Sil https://t.co/GlDz4qisX5",0,0,0,
3579,3579.0,"@ClavdiaCornell El chenco se vuelve presidente de un país tercermundista y sigue la saga del tráfico de drogas, lavado de dinero y asesinatos jajajaja",0,0,0,
429,429.0,"Cómo dato anecdótico, una de mis alumnas chiquitas me mostró a su neonato y jugaba con ella como una muñeca normal, porque según ella, ya había crecido después de cuidarla tanto. Solo se fijaba en lo bonito del cachivache y no más allá",0,0,0,
5961,,"@Mzavalagc Cínica e hipócrita, si no vas a legislar, no cobres, descarada.",0,0,1,5961.0
679,679.0,"Elba Esther Gordillo es igual de cínica y desvergonzada que sus patrones de derecha cavernícola, la vdd.",0,0,1,
5742,,"@FernandoV33666 @AXZO03 @Maradel27654149 Si tu trabajo es la seguridad pública y la flagrancia está en tus narices y no actúas, eres delincuente. Vaya que critiqué esa complicidad y descaradamente te decían”son órdenes del presidente”. Poca madre! Seamos felices",0,0,1,5742.0
1982,1982.0,Sigue el link para leer la nota del día: https://t.co/YLq17IWvZ8 https://t.co/dP6KCyAaZo,0,0,0,
596,,No sé porque me mama el puto exceso 😩,1,0,0,596.0
4496,4496.0,Velez vuelve a Semi despues de esa inexplicable serie que pierde con Peñarol. Copon del cacique… lo del Oso es tremendo. Hanson es el MVP,0,0,0,
2436,,@jotajordi13 @LaLiga @Tebasjavier es un cínico!,0,0,1,2436.0
380,380.0,"@catrina_nortena @LaydaSansores Entonces ahora de acuerdo a la nueva semántica como se debe decir el calificativo a las mujeres que trabajan en un burdel o mujer que entrega su cuerpo a la satisfacción de los deseos sexuales de otra persona, a cambio de dinero; prostituta: “¡Ahí va esa puta!""",1,0,1,
1573,1573.0,@latinus_us Casi como él y su gavilla zopilotearon Pasta de Conchos?,0,0,0,
5121,5121.0,a cómo voy creo que toca otro año disfrazándome chistoso y no puton,1,0,0,
