Column1,Groserias,Vulgar,Agresivo,Ofensivo
0,"@karlarockabilly Pues yo jalo, trabajé en una ONG y ahora en la Defensoría Pública Federa, digo igual y mi opinión es medio abogadil pero pues igual y sirve. Yo no te cobro nada, la bronca es que tengo la patita enyesada. https://t.co/3ZGwNnu0FW",0,0,0
1,"Señores medios de prensa , ya dejen de entrevistar a seudos abogados oportunistas sin principios morales y eticos y que abusan del lenguaje abogadil para reventarse cuetes como doctos y no son mas que charlatanes oportunistas. Molesta verlos y escucharlos es ofensivo.",0,0,1
2,"@IsidroMZ @oscar_leonard @enriquegtejeda jajajaja, bueno, a Enrique le gusta provocar a la gente, por eso el hilo con todo y la agresión abogadil, supongo!",0,0,0
3,"Lo que más me da gusto del tuit es la cantidad de colegas que se rieron, real ese era el objetivo. Sin embargo, tengo que reconocer a quienes lo tomaron en serio y dieron explicaciones, recomendaciones de libros, etc.

Pasen a leer. Aquí el gremio abogadil en todo esplendor: https://t.co/ZIf03SX641",0,0,0
4,"Hace 111 años nació en el DF uno de los mayores mitos del cine mexicano:Mario Moreno Cantinflas, quien surgió de la carpa para convertirse en un fenómeno popular;de su icónica imagen del peladito que se consagró en Ahí Está el Detalle,pasó a aburguesarse en comedias complacientes https://t.co/sSBYz6vP4K",0,0,0
5,"@aguilarpepe los trabajadores blancos al ser beneficiados por la clase dominante únicamente tienen que cuidarse de no aburguesarse y no desarrollar formas de pensar burguesas cómo las tuyas, los blancos y los los morenos que han pasado mucho tiempo en colegios privados conviviendo con blancos",0,0,0
6,Balada de pájaros cantores y serpientes': la primera imagen de la precuela de 'Los juegos del hambre' nos muestra a un acaramelado joven Snow https://t.co/PgX3NnWy9p https://t.co/bEF9tyDn63,0,0,0
7,Balada de pájaros cantores y serpientes': la primera imagen de la precuela de 'Los juegos del hambre' nos muestra a un acaramelado joven Snow https://t.co/w4BHERx3FH,0,0,0
8,Cuando ves a tu marido bien acaramelado con la diputada esa!! https://t.co/ZyPOgPmgw1,0,0,0
9,"@RicardoAnayaC Deja tu banderita de perseguido político, no sea payaso. Entérate, infórmate, esa señora es una achichincle. Ridículo.",0,0,1
10,"@LaInventada_ pobre, tenia la esperanza que se pudiera librar del achichincle!!!",0,0,1
11,"López Dóriga fue conocido por el regaño de un presidente en la prehistoria, fue achichincle de Zabludovsky esperando tomar su trono siendo timorato y servil, luego pudo hacer sus ahorritos con chayote y ""difusión social"" con su SA de CV, ahora empezamos a conocerle personalmente",0,0,1
12,"@GreciaSebastiaZ @lopezobrador_ Ni como ayudarte ingrata. Si ah eso le llamas el mejor, deberías de ir al oftalmólogo de urgencia. Necesitas lentes para ver la realidad 
Es un asco estar o ser achichincle de obrador 🤢🤮",0,0,1
13,"@Claudiashein @SEP_mx Me queda claro que si representan a cabalidad su 4T 

Una ratera que quitaba los sueldos en Texcoco
Una que no está en la cárcel por la falta de mantenimiento a la línea 12 del metro
Una que tiene un papá violador 
Y otra que es la achichincle de López y hoy se gano un 🦴",0,0,1
14,@NarroJose Atte: El achichincle de Ricardo Monreal.,0,0,1
15,"@OmarResendess @werevertumorro El achichincle de los niños de TIMBERS ❤
Muchi exito hermanito",0,0,1
16,"Ya dijo el Goberñetas que no se va a permitir hacer Valle de Reyes en la Huasteca. A ver si es cierto @samuel_garcias 
Al rato sale con que su achichincle Jesús Nava de Santa Catarina autorizó y él no pudo hacer nada. Para eso lo tiene. https://t.co/IKlfwHrzNm",0,0,1
17,"@ABMONTENEGRO74 @juncalssolano Pues es lo que se requiere, que no??? O donde has visto a algún achichincle del cabecita de pañal que sea profesional o tenga las credenciales necesarias para el puesto 😉👍🏻",0,1,0
18,@RestaurandoO @MelissaPurrs @WokoComedyClub @ciento39 @MauNieto ¿Cuándo dejó de ser un don nadie?  ¿Fama? ¿Dinero? Jajajaja si sólo se le conoce por mala copa y achichincle del capi. No inventes.,0,0,1
19,@SABC30 @kekechuy Yo jalo que el Erik sirva de achichincle,0,0,1
20,@evelyn_parraA @A_VCarranza Deberían hacerlo en toda la demarcación y no solo donde quieren. Y tanto achichincle. ???,0,0,1
