,Groserias,Vulgar,Agresivo,Ofensivo
0,"@alitomorenoc @ciudadanochi VALV pinche doblado.
Te llegaron al precio OGT",1,0,1
1,@AlexaStyy Alfin alguien lo dijo que se joda esa pinche vieja piruja 🙄 xd,1,1,1
2,Pinché pendejo neta,1,0,1
3,Pinche clima estaba soleado hace 15 min. ª 🙃,1,0,0
4,Siento que mañana no más me va a hervir la pinche sangre de verle la carota .😒🙄😡,1,1,0
5,@lopezobrador_ Que pinche pena con las visitas 🙄,1,0,0
6,"@TELMEXSoluciona totalmente cubierto, sin pinche internet ni como me roben",1,1,0
7,me tienen harta los vatos con su pinché libro y estampitas del mundial,1,0,0
8,"alch no quería pero me voy a poner bien pinche pedota el viernes, hace un vergo d falta",1,0,0
9,Pinche vieja. 🙄 https://t.co/htZPbGJ75I,1,0,0
10,@ActorLeeMinHo Ni pinche idea de lo que dice pero te amo oki🫰 https://t.co/bxrxkrZKzI,1,0,0
11,"@adiadkins Y queríamos estar cerca en el servicio, pinche distociadero íbamos a hacer en las unidades jajaja",1,0,0
12,@Ricardo_gzlz 😂🤣 pinche día divertido jajaja,1,0,0
13,"Harto hartooo de tanto pinche acoso sexual. Mínimo 2 veces a la semana vivo una situación de ese ámbito. Neta ya el único lugar donde siento tranquilidad es mi casa o donde estén mis amixes. 

Pero no voy a dejar que esa gente me impida seguir adelante. Chinguensumadre acosadorxs",1,0,0
14,@fergudo_ jajajaja awebo pinche rivers,1,0,0
15,PINCHÉ DAYANA PORQUE NO ME DIJISTE DE LAS MALAS VIBES @dayanabecu,1,0,0
16,"@homoticon1 @Dan_Lowell @pcramirezs @HLGatell Que es esa pinche mamarachada de poner “Pum!” No mamar.

Vacunaron al 95% no al 100%
La vacuna no impide que te enferme o mate solo baja la probabilidad de enfermar gravemente o morir  comparemos cantidad de muertos entre Australia y Mexico",1,0,1
17,@KevMedina98 jajaja pinche cuenta feik vdd pa,1,0,0
18,Pinche gente inútil,1,0,0
19,Pinche licenciada irresponsable.,1,0,1
20,@marianagc @FGRMexico @Birmex @ISSSTE_mx Jajajajaja tu pinché hoja vale para pura riata,1,0,1
21,Pinche comercial de Cheetos flamin hot me los está antojando horribleeee,1,0,0
22,"No es lo mismo ser Totonaco , que seas un pinche político rascuache TODO NACO .

Me pase ? Aguantan  ? Yo le sigo. https://t.co/zm62OerPwx",1,1,1
23,"La velocidad que tenía. Pinche Carioca siempre fue crack, corriendo así nadie le quita el mejor 5 de la liga. https://t.co/qOdkcB8V7V",1,0,0
24,@ChumelTorres Jajaja cuánto te esta pagando el PRIAN pinche chmel torres,1,0,0
25,una lloradita y a seguir en pinche gyo,1,0,0
26,"@TestigodeBigBen @agusmm03 gracias amigo tqm, pinché agus si me dolió, sobre todo que viniera d ti",1,0,0
27,que pedo con el pinche ruta 23 nomas me la andas aplicando,1,0,0
28,"@macho_cabrio Su pinche carisma complementa todos los atributos que mencionas, insisto es adorable por todos sus ángulos, ahí si que como dice Luismi “qué nivel de mujer”",1,0,0
29,Bien pinche sad,1,0,0
30,"Pinche @BBVA_Mex otra vez se me pasó de chorizo. 

Apenas ayer marqué para aclarar lo de una bonificación que no me hicieron, y hoy amanezco con que me eliminaron los puntos 🤡

Si acaso eran como $200, pero no mamen no me los quiten nomas por nomas.",1,0,0
31,"Un beso al chacal guapo que me salvo de la mordida de un perro , neta que pinche conexión tuvimos ❤️ te amo donde quiera que estes",1,0,0
32,@mikeintense @occimorons @Brionzael Sí pinche vieja,1,0,0
33,"@FerMoctezumaO Bien por Osorio Chong, Amlito Moreno a chingar a su reputisima madre pinche naco de MIERDA traidor.",1,1,1
34,"@RicardoMonrealA @NachoRgz @MorenaSenadores Plural? Y entonces para que le sirvieron el chingo de votos a Morena? Pinche convicción boba de la democracia. Cómo te lo he dicho siempre, desde la primera vez en Fresnillo, eres HIPÓCRITA y HOCICØN @RicardoMonrealA",1,1,1
35,"@red_191686 @harfuch_omar @OHarfuch @elpaismexico Chinga a tu madre, pinche envidioso. Das lástima infeliz.",1,1,1
36,Pinche coraje.,1,0,0
37,"Casi 2 millones de dolares y el baño esta cerca de la cama, no mames pinche cuarto hediondo a culo https://t.co/4cRQGDzxcD",1,0,1
38,"Wey no es normal mi pinche dolor de espalda.
El fin de semana no podía pararme",1,0,0
39,@JCarlos_Valerio Chasm pinché sapo metiche y Magnicida,1,0,1
40,"ME SIENTO INSEGURA
Me siento insegura y eso lo provoca él. Cuando la ex de mi vato sube una foto, siempre, SIEMPRE wey, siempre está su me encanta en la foto de la p1nch3 vieja y cuando yo subo una foto, ni su pinche like.",1,0,1
41,"@204_Luisa Pinche astrología por fin tuvo razón en algo, soi acuario",1,0,0
42,pinché día culero,1,0,1
43,"“El miedo lleva a la ira, la ira lleva al odio, el odio lleva al sufrimiento""

Cuánta pinche razón tiene esta frase de SW.",1,0,0
44,@KayRemix Máster sabemos que cuando vuelvas será puro pinche 🔥🔥🔥🔥🔥🔥,1,0,0
45,Jajajaja están que se les pudre el hígado del pinche coraje que hacen y de como poco a poco se está tirando a la oposición a la basura jajaja.,1,0,0
46,"pinche lluvia en new york, hoy hubiera visto pitchear a billy https://t.co/FZjZDTioeK",1,0,0
47,"@SocialDmocrata_ Y ese wey que hace dando un comunicado en el Senado? Que se vaya a su pinché oficina, ah pero cómo está con sus weyes a un lado se siente mejor.",1,1,0
48,Sigo sin encontrar a mi Dory y la verdad es que estoy bien pinche triste.,1,0,0
49,@ferMede Uuuuu las retas aunque luego como me desespera pinché monito no salta como uno quiere y a empezar oootra vez jajajaja,1,0,0
50,¿Es neta @MetroCDMX? ¿Anunciando un pinche esquema Ponzi en su servicio de conexión? 🤦🤦🤦 https://t.co/2mT9QF0zGi,1,0,0
51,@12HYRS @Gaferma2 Pinche tóxico,1,0,0
52,PINCHE VIEJA,1,0,0
53,Cómo no voy a estar bien pinche loca si de pequeña acompañaba a mi mamá a espiar a mi papá 🤣,1,0,0
54,"@reneromanosport @MicheleG3 Tambien son seres humanos y tienen derecho a divertirse por lo que en que chingados les afecta, pinche gente calumniosa, mejor cuiden sus mendigas vidas.",1,1,1
55,Me pegue entre la puerta y el palo del trapeador. Awebo se la hice de pedo al pinche palo 😂,1,0,0
56,"No solo en tw, en las juntas de la escuela nunca falta el pinche traumado que viene a despotricar cosas que ni al caso.",1,0,1
57,Porque la gente en este pinché país se disculpa por todo? Me cagan.,1,1,0
58,@EduardoOyangur3 ay wey pinché marica sin bolas,1,1,1
59,Pinche examen me metió la que te valgo,1,0,0
